route,hour,total_in
Route 6 Dixie Dr South,9,149
Route 6 Dixie Dr South,10,161
Route 6 Dixie Dr South,11,178
Route 6 Dixie Dr South,12,121
Route 6 Dixie Dr South,13,152
Route 6 Dixie Dr South,14,253
Route 6 Dixie Dr South,15,217
Route 6 Dixie Dr South,16,181
Route 6 Dixie Dr South,17,135
Route 6 Dixie Dr South,18,139
Route 6 Dixie Dr South,19,98
Route 6 Dixie Dr South,20,32
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,118
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,152
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,121
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,209
Route 6 Dixie Dr South,16,179
Route 6 Dixie Dr South,17,131
Route 6 Dixie Dr South,18,134
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,37
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,135
Route 6 Dixie Dr South,7,151
Route 6 Dixie Dr South,8,126
Route 6 Dixie Dr South,9,155
Route 6 Dixie Dr South,10,187
Route 6 Dixie Dr South,11,188
Route 6 Dixie Dr South,12,149
Route 6 Dixie Dr South,13,166
Route 6 Dixie Dr South,14,292
Route 6 Dixie Dr South,15,236
Route 6 Dixie Dr South,16,238
Route 6 Dixie Dr South,17,162
Route 6 Dixie Dr South,18,171
Route 6 Dixie Dr South,19,125
Route 6 Dixie Dr South,20,49
Route 6 Dixie Dr South,21,1
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,154
Route 6 Dixie Dr South,8,123
Route 6 Dixie Dr South,9,149
Route 6 Dixie Dr South,10,159
Route 6 Dixie Dr South,11,181
Route 6 Dixie Dr South,12,128
Route 6 Dixie Dr South,13,162
Route 6 Dixie Dr South,14,246
Route 6 Dixie Dr South,15,235
Route 6 Dixie Dr South,16,191
Route 6 Dixie Dr South,17,153
Route 6 Dixie Dr South,18,142
Route 6 Dixie Dr South,19,98
Route 6 Dixie Dr South,20,36
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,118
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,152
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,122
Route 6 Dixie Dr South,13,152
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,209
Route 6 Dixie Dr South,16,179
Route 6 Dixie Dr South,17,131
Route 6 Dixie Dr South,18,133
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,118
Route 6 Dixie Dr South,9,157
Route 6 Dixie Dr South,10,152
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,209
Route 6 Dixie Dr South,16,179
Route 6 Dixie Dr South,17,131
Route 6 Dixie Dr South,18,133
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,118
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,152
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,152
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,210
Route 6 Dixie Dr South,16,180
Route 6 Dixie Dr South,17,135
Route 6 Dixie Dr South,18,135
Route 6 Dixie Dr South,19,98
Route 6 Dixie Dr South,20,34
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,118
Route 6 Dixie Dr South,9,148
Route 6 Dixie Dr South,10,152
Route 6 Dixie Dr South,11,175
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,209
Route 6 Dixie Dr South,16,179
Route 6 Dixie Dr South,17,132
Route 6 Dixie Dr South,18,147
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 6 Dixie Dr South,0,0
Route 6 Dixie Dr South,1,0
Route 6 Dixie Dr South,2,0
Route 6 Dixie Dr South,3,0
Route 6 Dixie Dr South,4,0
Route 6 Dixie Dr South,5,31
Route 6 Dixie Dr South,6,119
Route 6 Dixie Dr South,7,148
Route 6 Dixie Dr South,8,118
Route 6 Dixie Dr South,9,147
Route 6 Dixie Dr South,10,152
Route 6 Dixie Dr South,11,176
Route 6 Dixie Dr South,12,120
Route 6 Dixie Dr South,13,151
Route 6 Dixie Dr South,14,233
Route 6 Dixie Dr South,15,209
Route 6 Dixie Dr South,16,179
Route 6 Dixie Dr South,17,131
Route 6 Dixie Dr South,18,133
Route 6 Dixie Dr South,19,95
Route 6 Dixie Dr South,20,31
Route 6 Dixie Dr South,21,0
Route 6 Dixie Dr South,22,0
Route 6 Dixie Dr South,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,215
Route 5 Ivins,9,242
Route 5 Ivins,10,268
Route 5 Ivins,11,149
Route 5 Ivins,12,232
Route 5 Ivins,13,219
Route 5 Ivins,14,273
Route 5 Ivins,15,267
Route 5 Ivins,16,249
Route 5 Ivins,17,202
Route 5 Ivins,18,259
Route 5 Ivins,19,144
Route 5 Ivins,20,48
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,172
Route 5 Ivins,8,239
Route 5 Ivins,9,250
Route 5 Ivins,10,280
Route 5 Ivins,11,149
Route 5 Ivins,12,235
Route 5 Ivins,13,219
Route 5 Ivins,14,271
Route 5 Ivins,15,270
Route 5 Ivins,16,253
Route 5 Ivins,17,210
Route 5 Ivins,18,268
Route 5 Ivins,19,151
Route 5 Ivins,20,48
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,115
Route 5 Ivins,7,173
Route 5 Ivins,8,217
Route 5 Ivins,9,245
Route 5 Ivins,10,270
Route 5 Ivins,11,145
Route 5 Ivins,12,240
Route 5 Ivins,13,225
Route 5 Ivins,14,270
Route 5 Ivins,15,268
Route 5 Ivins,16,264
Route 5 Ivins,17,211
Route 5 Ivins,18,277
Route 5 Ivins,19,155
Route 5 Ivins,20,55
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,115
Route 5 Ivins,7,221
Route 5 Ivins,8,236
Route 5 Ivins,9,351
Route 5 Ivins,10,320
Route 5 Ivins,11,277
Route 5 Ivins,12,281
Route 5 Ivins,13,358
Route 5 Ivins,14,375
Route 5 Ivins,15,405
Route 5 Ivins,16,381
Route 5 Ivins,17,320
Route 5 Ivins,18,375
Route 5 Ivins,19,259
Route 5 Ivins,20,133
Route 5 Ivins,21,10
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,174
Route 5 Ivins,8,220
Route 5 Ivins,9,244
Route 5 Ivins,10,269
Route 5 Ivins,11,144
Route 5 Ivins,12,230
Route 5 Ivins,13,217
Route 5 Ivins,14,265
Route 5 Ivins,15,266
Route 5 Ivins,16,248
Route 5 Ivins,17,207
Route 5 Ivins,18,268
Route 5 Ivins,19,152
Route 5 Ivins,20,46
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,215
Route 5 Ivins,9,243
Route 5 Ivins,10,268
Route 5 Ivins,11,147
Route 5 Ivins,12,230
Route 5 Ivins,13,217
Route 5 Ivins,14,268
Route 5 Ivins,15,275
Route 5 Ivins,16,246
Route 5 Ivins,17,205
Route 5 Ivins,18,259
Route 5 Ivins,19,144
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,215
Route 5 Ivins,9,243
Route 5 Ivins,10,268
Route 5 Ivins,11,145
Route 5 Ivins,12,230
Route 5 Ivins,13,218
Route 5 Ivins,14,264
Route 5 Ivins,15,265
Route 5 Ivins,16,244
Route 5 Ivins,17,202
Route 5 Ivins,18,257
Route 5 Ivins,19,143
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,217
Route 5 Ivins,9,256
Route 5 Ivins,10,274
Route 5 Ivins,11,151
Route 5 Ivins,12,233
Route 5 Ivins,13,222
Route 5 Ivins,14,266
Route 5 Ivins,15,278
Route 5 Ivins,16,252
Route 5 Ivins,17,212
Route 5 Ivins,18,260
Route 5 Ivins,19,145
Route 5 Ivins,20,52
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,184
Route 5 Ivins,8,233
Route 5 Ivins,9,243
Route 5 Ivins,10,274
Route 5 Ivins,11,147
Route 5 Ivins,12,235
Route 5 Ivins,13,225
Route 5 Ivins,14,272
Route 5 Ivins,15,276
Route 5 Ivins,16,260
Route 5 Ivins,17,210
Route 5 Ivins,18,259
Route 5 Ivins,19,143
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,216
Route 5 Ivins,9,244
Route 5 Ivins,10,281
Route 5 Ivins,11,148
Route 5 Ivins,12,235
Route 5 Ivins,13,224
Route 5 Ivins,14,264
Route 5 Ivins,15,266
Route 5 Ivins,16,245
Route 5 Ivins,17,203
Route 5 Ivins,18,257
Route 5 Ivins,19,143
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,215
Route 5 Ivins,9,242
Route 5 Ivins,10,268
Route 5 Ivins,11,144
Route 5 Ivins,12,230
Route 5 Ivins,13,220
Route 5 Ivins,14,264
Route 5 Ivins,15,265
Route 5 Ivins,16,249
Route 5 Ivins,17,206
Route 5 Ivins,18,257
Route 5 Ivins,19,143
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,112
Route 5 Ivins,7,182
Route 5 Ivins,8,222
Route 5 Ivins,9,247
Route 5 Ivins,10,270
Route 5 Ivins,11,145
Route 5 Ivins,12,235
Route 5 Ivins,13,223
Route 5 Ivins,14,272
Route 5 Ivins,15,274
Route 5 Ivins,16,253
Route 5 Ivins,17,202
Route 5 Ivins,18,262
Route 5 Ivins,19,143
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,215
Route 5 Ivins,9,242
Route 5 Ivins,10,273
Route 5 Ivins,11,146
Route 5 Ivins,12,242
Route 5 Ivins,13,219
Route 5 Ivins,14,264
Route 5 Ivins,15,265
Route 5 Ivins,16,244
Route 5 Ivins,17,202
Route 5 Ivins,18,257
Route 5 Ivins,19,144
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,109
Route 5 Ivins,7,174
Route 5 Ivins,8,216
Route 5 Ivins,9,243
Route 5 Ivins,10,271
Route 5 Ivins,11,144
Route 5 Ivins,12,234
Route 5 Ivins,13,217
Route 5 Ivins,14,266
Route 5 Ivins,15,268
Route 5 Ivins,16,244
Route 5 Ivins,17,202
Route 5 Ivins,18,257
Route 5 Ivins,19,143
Route 5 Ivins,20,46
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,217
Route 5 Ivins,9,242
Route 5 Ivins,10,279
Route 5 Ivins,11,144
Route 5 Ivins,12,230
Route 5 Ivins,13,217
Route 5 Ivins,14,264
Route 5 Ivins,15,265
Route 5 Ivins,16,249
Route 5 Ivins,17,202
Route 5 Ivins,18,257
Route 5 Ivins,19,144
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,215
Route 5 Ivins,9,242
Route 5 Ivins,10,269
Route 5 Ivins,11,144
Route 5 Ivins,12,230
Route 5 Ivins,13,218
Route 5 Ivins,14,265
Route 5 Ivins,15,270
Route 5 Ivins,16,262
Route 5 Ivins,17,209
Route 5 Ivins,18,257
Route 5 Ivins,19,146
Route 5 Ivins,20,47
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,232
Route 5 Ivins,9,252
Route 5 Ivins,10,283
Route 5 Ivins,11,147
Route 5 Ivins,12,232
Route 5 Ivins,13,218
Route 5 Ivins,14,267
Route 5 Ivins,15,265
Route 5 Ivins,16,245
Route 5 Ivins,17,204
Route 5 Ivins,18,259
Route 5 Ivins,19,143
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,215
Route 5 Ivins,9,242
Route 5 Ivins,10,268
Route 5 Ivins,11,144
Route 5 Ivins,12,230
Route 5 Ivins,13,217
Route 5 Ivins,14,264
Route 5 Ivins,15,266
Route 5 Ivins,16,244
Route 5 Ivins,17,202
Route 5 Ivins,18,257
Route 5 Ivins,19,143
Route 5 Ivins,20,45
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 5 Ivins,0,0
Route 5 Ivins,1,0
Route 5 Ivins,2,0
Route 5 Ivins,3,0
Route 5 Ivins,4,0
Route 5 Ivins,5,24
Route 5 Ivins,6,107
Route 5 Ivins,7,171
Route 5 Ivins,8,219
Route 5 Ivins,9,246
Route 5 Ivins,10,274
Route 5 Ivins,11,150
Route 5 Ivins,12,234
Route 5 Ivins,13,223
Route 5 Ivins,14,267
Route 5 Ivins,15,267
Route 5 Ivins,16,250
Route 5 Ivins,17,206
Route 5 Ivins,18,257
Route 5 Ivins,19,143
Route 5 Ivins,20,47
Route 5 Ivins,21,1
Route 5 Ivins,22,0
Route 5 Ivins,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,37
Route 7 Washington,7,90
Route 7 Washington,8,140
Route 7 Washington,9,164
Route 7 Washington,10,174
Route 7 Washington,11,149
Route 7 Washington,12,136
Route 7 Washington,13,184
Route 7 Washington,14,110
Route 7 Washington,15,236
Route 7 Washington,16,154
Route 7 Washington,17,202
Route 7 Washington,18,88
Route 7 Washington,19,132
Route 7 Washington,20,69
Route 7 Washington,21,13
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,37
Route 7 Washington,7,90
Route 7 Washington,8,136
Route 7 Washington,9,161
Route 7 Washington,10,172
Route 7 Washington,11,147
Route 7 Washington,12,135
Route 7 Washington,13,169
Route 7 Washington,14,106
Route 7 Washington,15,235
Route 7 Washington,16,152
Route 7 Washington,17,201
Route 7 Washington,18,87
Route 7 Washington,19,131
Route 7 Washington,20,69
Route 7 Washington,21,11
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,37
Route 7 Washington,7,105
Route 7 Washington,8,143
Route 7 Washington,9,162
Route 7 Washington,10,175
Route 7 Washington,11,148
Route 7 Washington,12,137
Route 7 Washington,13,169
Route 7 Washington,14,110
Route 7 Washington,15,235
Route 7 Washington,16,155
Route 7 Washington,17,201
Route 7 Washington,18,90
Route 7 Washington,19,131
Route 7 Washington,20,69
Route 7 Washington,21,11
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,39
Route 7 Washington,7,90
Route 7 Washington,8,139
Route 7 Washington,9,164
Route 7 Washington,10,193
Route 7 Washington,11,157
Route 7 Washington,12,139
Route 7 Washington,13,173
Route 7 Washington,14,115
Route 7 Washington,15,245
Route 7 Washington,16,190
Route 7 Washington,17,205
Route 7 Washington,18,92
Route 7 Washington,19,131
Route 7 Washington,20,70
Route 7 Washington,21,12
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,38
Route 7 Washington,7,90
Route 7 Washington,8,156
Route 7 Washington,9,165
Route 7 Washington,10,189
Route 7 Washington,11,152
Route 7 Washington,12,144
Route 7 Washington,13,180
Route 7 Washington,14,114
Route 7 Washington,15,236
Route 7 Washington,16,157
Route 7 Washington,17,205
Route 7 Washington,18,88
Route 7 Washington,19,131
Route 7 Washington,20,69
Route 7 Washington,21,11
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,37
Route 7 Washington,7,90
Route 7 Washington,8,136
Route 7 Washington,9,166
Route 7 Washington,10,176
Route 7 Washington,11,147
Route 7 Washington,12,144
Route 7 Washington,13,170
Route 7 Washington,14,107
Route 7 Washington,15,241
Route 7 Washington,16,154
Route 7 Washington,17,210
Route 7 Washington,18,89
Route 7 Washington,19,134
Route 7 Washington,20,85
Route 7 Washington,21,15
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,37
Route 7 Washington,7,92
Route 7 Washington,8,140
Route 7 Washington,9,168
Route 7 Washington,10,172
Route 7 Washington,11,151
Route 7 Washington,12,138
Route 7 Washington,13,170
Route 7 Washington,14,106
Route 7 Washington,15,236
Route 7 Washington,16,152
Route 7 Washington,17,201
Route 7 Washington,18,87
Route 7 Washington,19,131
Route 7 Washington,20,69
Route 7 Washington,21,11
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,40
Route 7 Washington,7,90
Route 7 Washington,8,136
Route 7 Washington,9,161
Route 7 Washington,10,172
Route 7 Washington,11,147
Route 7 Washington,12,135
Route 7 Washington,13,171
Route 7 Washington,14,109
Route 7 Washington,15,235
Route 7 Washington,16,153
Route 7 Washington,17,201
Route 7 Washington,18,89
Route 7 Washington,19,131
Route 7 Washington,20,69
Route 7 Washington,21,11
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,38
Route 7 Washington,7,90
Route 7 Washington,8,136
Route 7 Washington,9,162
Route 7 Washington,10,182
Route 7 Washington,11,150
Route 7 Washington,12,140
Route 7 Washington,13,178
Route 7 Washington,14,113
Route 7 Washington,15,242
Route 7 Washington,16,156
Route 7 Washington,17,206
Route 7 Washington,18,88
Route 7 Washington,19,132
Route 7 Washington,20,70
Route 7 Washington,21,11
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,43
Route 7 Washington,7,102
Route 7 Washington,8,167
Route 7 Washington,9,201
Route 7 Washington,10,180
Route 7 Washington,11,179
Route 7 Washington,12,150
Route 7 Washington,13,219
Route 7 Washington,14,152
Route 7 Washington,15,275
Route 7 Washington,16,179
Route 7 Washington,17,226
Route 7 Washington,18,112
Route 7 Washington,19,149
Route 7 Washington,20,81
Route 7 Washington,21,49
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,40
Route 7 Washington,7,90
Route 7 Washington,8,138
Route 7 Washington,9,161
Route 7 Washington,10,186
Route 7 Washington,11,149
Route 7 Washington,12,142
Route 7 Washington,13,169
Route 7 Washington,14,114
Route 7 Washington,15,238
Route 7 Washington,16,156
Route 7 Washington,17,201
Route 7 Washington,18,89
Route 7 Washington,19,132
Route 7 Washington,20,69
Route 7 Washington,21,11
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,37
Route 7 Washington,7,90
Route 7 Washington,8,136
Route 7 Washington,9,167
Route 7 Washington,10,178
Route 7 Washington,11,154
Route 7 Washington,12,138
Route 7 Washington,13,172
Route 7 Washington,14,111
Route 7 Washington,15,237
Route 7 Washington,16,152
Route 7 Washington,17,203
Route 7 Washington,18,87
Route 7 Washington,19,135
Route 7 Washington,20,69
Route 7 Washington,21,12
Route 7 Washington,22,0
Route 7 Washington,23,0
Route 7 Washington,0,0
Route 7 Washington,1,0
Route 7 Washington,2,0
Route 7 Washington,3,0
Route 7 Washington,4,0
Route 7 Washington,5,21
Route 7 Washington,6,37
Route 7 Washington,7,102
Route 7 Washington,8,136
Route 7 Washington,9,161
